number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
10,0.01569714193289091,2025-04-10 21:20:27.683535,2025-04-10 21:20:27.776295,0 days 00:00:00.092760,0.6737131706156054,0.0020600151300689262,0.031866742565833675,3,140,0.9981048073233902,0.5823499829793183,0.9964774392808647,COMPLETE
11,0.022493237001635306,2025-04-10 21:20:27.776535,2025-04-10 21:20:27.856059,0 days 00:00:00.079524,0.6823081964214376,0.1335590473605334,0.014722904374524365,3,131,0.9576070818045677,0.5806294742595723,0.6089404698280065,COMPLETE
12,0.016508555773629602,2025-04-10 21:20:27.856261,2025-04-10 21:20:27.940698,0 days 00:00:00.084437,0.6873076476585795,0.01625257692061082,0.028945852611695466,4,107,0.5276175331546785,0.5832071467431093,0.9996239043877488,COMPLETE
13,0.02804214775724418,2025-04-10 21:20:27.940883,2025-04-10 21:20:28.000854,0 days 00:00:00.059971,0.6556537608760669,1.119450021750397,0.019738497903513202,4,105,0.8099440936375374,0.5481866390688221,0.9949775508379862,COMPLETE
14,0.030059992386336623,2025-04-10 21:20:28.001043,2025-04-10 21:20:28.065544,0 days 00:00:00.064501,0.724390495215247,1.4489061728182482,0.08103612983041567,4,211,0.5805019320610821,0.40191121137816566,0.9888004146735114,COMPLETE
15,0.0460111644172004,2025-04-10 21:20:28.065725,2025-04-10 21:20:28.124456,0 days 00:00:00.058731,0.6205020909988779,4.6973121757813345,0.06904561653661459,4,196,0.1330832424534385,0.668698528843496,0.9273918799533674,COMPLETE
16,0.031025131837201115,2025-04-10 21:20:28.124636,2025-04-10 21:20:28.190894,0 days 00:00:00.066258,0.7694087065946291,1.648165991750771,0.07058112250009503,3,218,0.8103377164169936,0.4353421635567425,0.9410970856907063,COMPLETE
17,0.022297863086803173,2025-04-10 21:20:28.191071,2025-04-10 21:20:28.245635,0 days 00:00:00.054564,0.7130125758115233,0.49154445207950104,0.11224667881009161,5,163,0.5095017052523066,0.6805406940371012,0.7912392716414465,COMPLETE
18,0.040004249628417546,2025-04-10 21:20:28.245816,2025-04-10 21:20:28.318154,0 days 00:00:00.072338,0.5953179169195076,3.4087778696126314,0.039875161051307985,10,241,0.7847058780175267,0.3189358655514939,0.9998443322778259,COMPLETE
19,0.031249852319541443,2025-04-10 21:20:28.318337,2025-04-10 21:20:28.394517,0 days 00:00:00.076180,0.6552850152804925,1.5943463745125148,0.11867263713902433,4,273,0.9989191135531901,0.700397894278731,0.9146182797998497,COMPLETE
20,0.02045352402197175,2025-04-10 21:20:28.394694,2025-04-10 21:20:28.448179,0 days 00:00:00.053485,0.7875154133584001,0.3016768848572089,0.048005257915606114,6,101,0.49340258714749635,0.4843154055121581,0.8788810098906921,COMPLETE
21,0.017525585281628044,2025-04-10 21:20:28.448353,2025-04-10 21:20:28.501830,0 days 00:00:00.053477,0.7396706204959703,0.07477493925029241,0.21845472426391166,5,155,0.4796213716510589,0.618315805991828,0.6498914723484842,COMPLETE
22,0.015243961464675484,2025-04-10 21:20:28.502009,2025-04-10 21:20:28.620656,0 days 00:00:00.118647,0.6991768664572484,0.003812476092445182,0.18943622724254555,5,415,0.41555883200317495,0.7630890605627756,0.6186295041513517,COMPLETE
23,0.025327203982843365,2025-04-10 21:20:28.620843,2025-04-10 21:20:28.730245,0 days 00:00:00.109402,0.6827401426766538,0.8018372829497828,0.19167327116254781,3,416,0.23492134503184436,0.7431236760018662,0.5961933756814156,COMPLETE
24,0.02418878988730268,2025-04-10 21:20:28.730428,2025-04-10 21:20:28.812235,0 days 00:00:00.081807,0.6339297509716799,0.5206341748490326,0.0985467278702246,4,275,0.0826056503190456,0.529691362585345,0.5651591107300501,COMPLETE
